date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
23/02/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.486168392,-0.486168392,0,,0,,0,,0,,0,,0,,-0.486168392,-0.486168392,-0.486168392
24/02/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,1,1,0,0.5,0.5,0,,0.570146009,0.570146009,0,,0,,0,,0,,-0.603658642,-0.603658642,-0.033512633,-0.033512633,-0.016756316
25/02/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
26/02/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,-0.437551553,-0.437551553,0,,0,,0,,0,,0,,0.456707222,0.456707222,0.019155669,0.019155669,0.009577835
27/02/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,,0.513131408,0.513131408,0,,0,,0,,0,,0,,0.513131408,0.513131408,0.513131408
28/02/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0.606203602,0.606203602,0,,0,,0,,0,,0,,0,,0.606203602,0.606203602,0.606203602
01/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,1,1,0,0.5,0.5,0,,0.461818267,0.461818267,0,,0,,0,,0,,-0.5889635,-0.5889635,-0.127145233,-0.127145233,-0.063572616
02/03/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,1,-1,0,1,0,,0,,0,,0,,0,,0,,-0.53006715,-0.53006715,-0.53006715,-0.53006715,-0.53006715
03/03/2013,1,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,0.5,0.545583242,0.545583242,-0.584363559,-0.584363559,0,,0,,0,,0,,0,,-0.038780317,-0.038780317,-0.019390159
04/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,,0.474072797,0.474072797,0,,0,,0,,0,,0,,0.474072797,0.474072797,0.474072797
05/03/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0.491024918,0.491024918,0,,0,,0,,0,,0,,0,,0.491024918,0.491024918,0.491024918
06/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,2,0,2,1,0,0,,0.426665517,0.426665517,0,,0,,0,,0,,0.522939565,0.522939565,0.949605082,0.949605082,0.474802541
07/03/2013,1,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,0.5,0.441922426,0.441922426,-0.616001035,-0.616001035,0,,0,,0,,0,,0,,-0.174078609,-0.174078609,-0.087039304
