,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,islanders_wins,islanders_losses,islanders_num_events,islanders_ties,devils_wins,devils_losses,devils_num_events,devils_ties,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,islanders_pe,islanders_pe_with_na,devils_pe,devils_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
2013-02-08,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,2,1.0,1.0,0.0,0.5,0.5,0.0,,0.0,,0.0,,0.383149602927,0.383149602927,0.0,,0.0,,0.0,,0.0,,-0.614991738342,-0.614991738342,-0.231842135414,-0.231842135414,-0.115921067707
2013-02-09,,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,0.0,,-0.40372563105,-0.40372563105,0.42504232005,0.42504232005,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.021316689,0.021316689,0.0106583445
2013-02-10,1.0,0.0,1.0,0.0,0.0,,,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,4,2.0,2.0,0.0,0.5,0.5,0.47217208995,0.47217208995,0.0,,0.382538088045,0.382538088045,-0.655165357365,-0.655165357365,0.0,,0.0,,0.0,,0.0,,-0.553492564507,-0.553492564507,-0.353947743878,-0.353947743878,-0.0884869359695
2013-02-11,,,,,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2,1.0,1.0,0.0,0.5,0.5,0.0,,-0.363353067945,-0.363353067945,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.501856691943,0.501856691943,0.138503623998,0.138503623998,0.0692518119992
2013-02-12,1.0,0.0,1.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,0.424954880955,0.424954880955,0.0,,-0.65571572076,-0.65571572076,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.230760839805,-0.230760839805,-0.115380419902
2013-02-13,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2,1.0,1.0,0.0,0.5,0.5,0.0,,0.0,,0.0,,-0.589648821629,-0.589648821629,0.0,,0.0,,0.0,,0.0,,0.451671022749,0.451671022749,-0.13797779888,-0.13797779888,-0.0689888994399
2013-02-14,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,-0.617540607141,-0.617540607141,0.67298223885,0.67298223885,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.055441631709,0.055441631709,0.0277208158545
2013-02-15,,,,,0.0,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.409855851316,0.409855851316,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.409855851316,0.409855851316,0.409855851316
2013-02-16,,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,0.0,,0.605684014965,0.605684014965,-0.631129733815,-0.631129733815,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.0254457188506,-0.0254457188506,-0.0127228594253
2013-02-17,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,0.444213453574,0.444213453574,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.444213453574,0.444213453574,0.444213453574
2013-02-18,,,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,2.0,-2.0,0.0,1.0,0.0,,-0.454884386532,-0.454884386532,-0.568016760434,-0.568016760434,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-1.02290114697,-1.02290114697,-0.511450573483
2013-02-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,3,1.0,2.0,-1.0,0.333333333333,0.666666666667,-0.600207891784,-0.600207891784,-0.409395947879,-0.409395947879,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.406503920474,0.406503920474,-0.603099919188,-0.603099919188,-0.201033306396
2013-02-20,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2,1.0,1.0,0.0,0.5,0.5,0.0,,0.0,,0.0,,-0.530683939466,-0.530683939466,0.0,,0.0,,0.0,,0.0,,0.365853528427,0.365853528427,-0.164830411039,-0.164830411039,-0.0824152055197
