,11,10,aa,12,ma,ba,5+6,pro,phd,sc1,7+8,hs,9,ns,n4,sc2,population,population_over_18,income,z_income,mbsa,workforce,mbsa_workforce,z_mbsa_workforce,education,z_education,ses,year,ZIP,desc
11372,0.018431337045252214,0.01914806934950885,0.04841338101489294,0.02012131637318365,0.04925082612828754,0.1337799707271438,0.0420910476362923,0.011663875182955351,0.00794441175139197,0.028578757563411945,0.020807870475155796,0.17836826460247762,0.014364824287417198,0.01561721968222353,0.021577414633410286,0.06655048058787139,66273.0,53635.0,24114.0,-0.44438395320031104,0.09813196927859008,0.5473194211820802,0.1793018139773613,-0.8522313333382145,8.641298115371267,-0.36896624464570527,-1.6655815311842308,2011.5,11372,Queens:West Queens
11373,0.019140442687904033,0.02613129698221503,0.049377873548950874,0.015987607121932812,0.030048757236626516,0.12573111029462875,0.04860331866975165,0.008381081000566021,0.004001866875862686,0.021906000814275642,0.02409560787662731,0.17835119112638154,0.020093741000764623,0.0260270299792459,0.017074963010039423,0.060728081586447276,100703.0,80529.0,20341.5,-0.5862733572782501,0.07869179666941402,0.5040117970666216,0.15613047752948178,-1.0468872846580792,8.01649156430295,-0.6926053196773216,-2.3257659616136515,2011.5,11373,Queens:West Queens
11374,0.006267361509676531,0.0033862118046787118,0.07098418237333272,0.012018182235588513,0.09607658578020616,0.2285406001056039,0.005716384673661012,0.03388507541495443,0.012339585389930898,0.022429348699465092,0.011122844877063293,0.1457104157579375,0.0025827039188227457,0.00914851121467435,0.003443605225096995,0.0792488349135655,43559.0,36613.0,34155.5,-0.06661811897405212,0.1861727771528272,0.5214766179205217,0.3570178937770686,0.6413271395487423,10.675928051608164,0.6838245934073209,1.2585336139820111,2011.5,11374,Queens:West Central Queens
11375,0.006437862541747231,0.0052147418995722745,0.05014794632917326,0.008210288861545673,0.14788773656764514,0.23620144137809806,0.005068260385539345,0.04380529677154743,0.01987754145426847,0.024638190660338666,0.014699419933204429,0.14029267006503782,0.002204546786195582,0.007983242514794632,0.004218667604148357,0.07250834944629989,68268.0,57497.0,44268.5,0.31380331709745274,0.23085486611589617,0.5509975391105643,0.41900583939063346,1.1616463313536547,11.625977764106171,1.1751483134527811,2.6505979619038884,2011.5,11375,Queens:West Central Queens
11377,0.01970638878329122,0.014322771081643149,0.05956640354211856,0.026867774324112793,0.04551756524072542,0.14257362642277333,0.030971175562959818,0.008150897828663432,0.004567409825801114,0.02401104675864845,0.02551488181757195,0.17723450882175362,0.012919564390974754,0.024463874415796418,0.013841991099979873,0.06758313021310852,89438.0,72160.0,23923.5,-0.4515907535130308,0.10552561551018583,0.5396587580223171,0.19554870228367563,-0.7163434137070437,8.675887206780116,-0.3510435512402619,-1.5189777184603364,2011.5,11377,Queens:West Queens
11378,0.015024176836288282,0.014290237163251208,0.05442666359659222,0.02309751323969606,0.031760879576329726,0.10246373474556758,0.013441169698365184,0.00826041906516233,0.00405825466267557,0.03252360119732904,0.018880957863228184,0.24338015196868523,0.01693817637577711,0.010203200552613402,0.006893276536956022,0.07774004144600508,34744.0,27343.0,26859.5,-0.34115947043586364,0.0939442781487451,0.48265887635275156,0.19468643886886577,-0.7230316931959452,8.519363055491596,-0.4313731161204064,-1.495564279752215,2011.5,11378,Queens:West Queens
11379,0.017144349036899514,0.012589928057553958,0.04357159433743328,0.01914597354374565,0.06451612903225806,0.1281039684381527,0.02088651659317707,0.01227082849849153,0.005424692504061267,0.045239614759805064,0.02072696681364586,0.25285739150614994,0.007194244604316547,0.015070201902993734,0.010515780923648178,0.08163146901833372,34472.0,28095.0,31673.5,-0.15997982355185167,0.13199118124854953,0.5136197493618009,0.2570458478633916,-0.1983356146095115,9.728692852169875,0.19283581008311063,-0.1654796280782525,2011.5,11379,Queens:West Central Queens
11385,0.01802089997867349,0.018518518518518517,0.04193197859224731,0.01308025876164072,0.0326041698402543,0.08656023723202226,0.034777442646924416,0.004849241893387767,0.0028790786948176585,0.05748509683250566,0.024865693771643868,0.23511968233657293,0.015390630553778345,0.012318597731265677,0.010328123571885568,0.05429119824513298,98469.0,75955.0,22918.0,-0.48935060770635774,0.08740821984583981,0.5038438493332927,0.17348810381809082,-0.9013427735993378,8.055007159613686,-0.6726447341877262,-2.063338115493422,2011.5,11385,Queens:West Central Queens
11411,0.014186309941205028,0.0064728410378121805,0.06648147149252925,0.021980689357570526,0.07279249150439614,0.14358919035546686,0.013997518744268838,0.009169858136900588,0.004719779923404714,0.03632882032472086,0.008846216085009979,0.21980689357570526,0.006688602405739252,0.007875289929338152,0.004342197529532337,0.12042181347429742,18539.0,14746.0,31052.0,-0.18344178670902733,0.14644802848050056,0.5655375155078484,0.25921232365324043,-0.1812295690976679,10.162818922271967,0.41925761299852193,0.05458625719182668,2011.5,11411,Queens:Southeast Queens
11412,0.01769707450641303,0.009122351923908343,0.0835422971609742,0.021717826776192536,0.04186482202046404,0.11301340250756593,0.013143104193687851,0.002622856319354374,0.0013834846519671423,0.03481769707450641,0.011226401498775039,0.19912091079406255,0.009886150742181871,0.010203199308257674,0.005663640293990488,0.12833261276841043,34695.0,26602.0,25734.0,-0.3834837139654139,0.11651534803285776,0.5313013402507566,0.2193283797304954,-0.5147772526813631,9.12001729355815,-0.12143329776753208,-1.0196942644143092,2011.5,11412,Queens:Jamaica
